key,year,title,preview,html,doi
solomon2025dynamicmriwithlocally,2025,Dynamic MRI with Locally Low-Rank Subspace Constraint: Towards 1-Second Temporal Resolution Aided by Deep Learning,solomon2025dynamicmriwithlocally.jpg,https://www.semanticscholar.org/paper/4c29f2eed6ff9c97b2719351dccdf76300ad7b64,10.21203/rs.3.rs-5448452/v1
li2025navigatormotionresolve,2025,Navigator motion‐resolved MR fingerprinting using implicit neural representation: Feasibility for free‐breathing three‐dimensional whole‐liver multiparametric mapping,li2025navigatormotionresolve.jpg,https://www.semanticscholar.org/paper/57b38f0d49af9b55c466c00b2d5ab340f898a11f,10.1002/mrm.70063
keerthivasan2025freebreathinghybridte,2025,Free-Breathing Hybrid Technique for Simultaneous Morphological and Quantitative Abdominal Imaging at 0.55 T.,keerthivasan2025freebreathinghybridte.jpg,https://www.semanticscholar.org/paper/e04919ac4673f6f2ce6a97df8e10a32aa4b1777d,10.1097/RLI.0000000000001214
dai2025highacceleratedparalle,2025,High‐Accelerated Parallel Imaging With the Inherent Local Feature in PE‐xSPEN MRI,dai2025highacceleratedparalle.jpg,https://www.semanticscholar.org/paper/5ca4a1e3b0fc0477475bfff2b3fd6178c72dcbf2,10.1002/mrm.70146
bai2025rapidquantitativesusce,2025,Rapid quantitative susceptibility mapping using single-shot echo planar time-resolved imaging,bai2025rapidquantitativesusce.jpg,https://www.semanticscholar.org/paper/b711ed5f08cc55f8b76e3dc6083c85194849dbb2,10.1088/1361-6560/ae273d
solomon2024fastmribreastapublic,2024,fastMRI Breast: A publicly available radial k-space dataset of breast dynamic contrast-enhanced MRI,solomon2024fastmribreastapublic.jpg,https://www.semanticscholar.org/paper/75f731df334d4e2cec238ddcf763cc8bfa41cdbd,10.48550/arXiv.2406.05270
qiu2024anewapproachformulti,2024,A new approach for multislice spatiotemporal encoding MRI in a portable low‐field system,qiu2024anewapproachformulti.jpg,https://www.semanticscholar.org/paper/bab165d71f814ca07d298a2e8baaa393f8a97373,10.1002/mrm.30300
li2024implicitneuralrepresen,2024,"Implicit neural representation for free-breathing MR fingerprinting (INR-MRF): co-registered 3D whole-liver water T1, water T2, proton density fat fraction, and R2* mapping",li2024implicitneuralrepresen.jpg,https://www.semanticscholar.org/paper/b16e55b2fdf90527bc33559011d3021cd998703b,10.48550/arXiv.2410.15175
huang2024experienceofhowtobui,2024,Experience of how to build an MRI machine from scratch.,huang2024experienceofhowtobui.jpg,https://www.semanticscholar.org/paper/5b60b5c496df05518047f095d1ac51da0b7e958d,10.1016/j.pnmrs.2025.101574
bae2024digitalreferenceobject,2024,Digital reference object toolkit of breast DCE MRI for quantitative evaluation of image reconstruction and analysis methods,bae2024digitalreferenceobject.jpg,https://www.semanticscholar.org/paper/dba773e65b0af95462f22f1dc7acf5d9da3e4ff7,10.1002/mrm.30152
zhang2023mclaromulticontrastl,2023,mcLARO: Multi‐contrast learned acquisition and reconstruction optimization for simultaneous quantitative multi‐parametric mapping,zhang2023mclaromulticontrastl.jpg,https://www.semanticscholar.org/paper/5cf3e4434beeb643a65ba7ab79c8b9449a6e3742,10.1002/mrm.29854
stephens2023candiffusiontensorima,2023,CAN DIFFUSION TENSOR IMAGING ASSESS THE CONTRIBUTION OF PERIPHERAL NEUROPATHY TO LOWER URINARY TRACT DYSFUNCTION? A SYSTEMATIC REVIEW,stephens2023candiffusiontensorima.jpg,https://www.semanticscholar.org/paper/fdbfb9b26db90313a2f23c2fa6351cb32cc16727,10.1016/j.cont.2023.100927
solomon2023mpraveirpreparedt1,2023,MP‐RAVE: IR‐Prepared T1‐Weighted Radial Stack‐of‐Stars 3D GRE imaging with retrospective motion correction,solomon2023mpraveirpreparedt1.jpg,https://www.semanticscholar.org/paper/bf0bc15cb9d6fa523f08dda285b5c709c07b925e,10.1002/mrm.29614
solomon2022timedependentdiffusivi,2022,Time‐dependent diffusivity and kurtosis in phantoms and patients with head and neck cancer,solomon2022timedependentdiffusivi.jpg,https://www.semanticscholar.org/paper/39594f9bbe4c6453e823d4644d7b8a3358c5ce8b,10.1002/mrm.29457
solomon2020freebreathingradialim,2020,Free‐breathing radial imaging using a pilot‐tone radiofrequency transmitter for detection of respiratory motion,solomon2020freebreathingradialim.jpg,https://www.semanticscholar.org/paper/e23e22c80cfd8f5190f4d645a49aa202b4092cd3,10.1002/mrm.28616
solomon2020diffusionweightedbreas,2020,Diffusion‐weighted breast MRI of malignancies with submillimeter resolution and immunity to artifacts by spatiotemporal encoding at 3T,solomon2020diffusionweightedbreas.jpg,https://www.semanticscholar.org/paper/248d59da3155a4d3f9ba404ee7791d0db7757d59,10.1002/mrm.28213
schneider2020freebreathingfatandr,2020,Free‐breathing fat and R2* quantification in the liver using a stack‐of‐stars multi‐echo acquisition with respiratory‐resolved model‐based reconstruction,schneider2020freebreathingfatandr.jpg,https://www.semanticscholar.org/paper/87cf006dc12dde53c21c6cbe65ea923932bd9428,10.1002/mrm.28280
bao2020dynamict2mappingbymu,2020,Dynamic T2 mapping by multi‐spin‐echo spatiotemporal encoding,bao2020dynamict2mappingbymu.jpg,https://www.semanticscholar.org/paper/68c3f84728dd2964cd1c7dfa6f1a3be192dbd670,10.1002/mrm.28158
bao2020coverimage,2020,Cover Image,bao2020coverimage.jpg,https://www.semanticscholar.org/paper/d5f18e21bbc50b32e59b267f73a23176eca9c2d9,10.1002/nbm.3972
muckley2019traininganeuralnetwor,2019,Training a neural network for Gibbs and noise removal in diffusion MRI,muckley2019traininganeuralnetwor.jpg,https://www.semanticscholar.org/paper/d78af753319e673f393281ae17d63c0f2d0f35aa,10.1002/mrm.28395
cousin2019aregularizedreconstruc,2019,A regularized reconstruction pipeline for high‐definition diffusion MRI in challenging regions incorporating a per‐shot image correction,cousin2019aregularizedreconstruc.jpg,https://www.semanticscholar.org/paper/fa41e0f306e31341a5681fa185214c2a6a28febd,10.1002/mrm.27802
bao2019highresolutiondiffusio,2019,High‐resolution diffusion MRI studies of development in pregnant mice visualized by novel spatiotemporal encoding schemes,bao2019highresolutiondiffusio.jpg,https://www.semanticscholar.org/paper/82d62289e10d3461ec7b26b5d6afaba3087d2253,10.1002/nbm.4208
solomon2017robustdiffusiontensor,2017,Robust diffusion tensor imaging by spatiotemporal encoding: Principles and in vivo demonstrations,solomon2017robustdiffusiontensor.jpg,https://www.semanticscholar.org/paper/8f26de831cf6ccf9a29911fb9c9696e668573795,10.1002/mrm.26197
solomon2017diffusionmrimeasuremen2,2017,Diffusion MRI measurements in challenging head and brain regions via cross-term spatiotemporally encoding,solomon2017diffusionmrimeasuremen2.jpg,https://www.semanticscholar.org/paper/e83288e9dfbdf9aeaa820edb8c1ecbe46775adaf,10.1038/s41598-017-17947-1
solomon2017diffusionmrimeasuremen,2017,Diffusion MRI measurements in challenging head and brain regions via cross-term spatiotemporally encoding,solomon2017diffusionmrimeasuremen.jpg,https://www.semanticscholar.org/paper/8a77fdbe0c45655fcca70d6183f3da4bc33e9247,10.1038/s41598-017-17947-1
liberman2017multiplecoilkspacein,2017,Multiple‐coil k‐space interpolation enhances resolution in single‐shot spatiotemporal MRI,liberman2017multiplecoilkspacein.jpg,https://www.semanticscholar.org/paper/b578d1bab4fdadd241669ecff49013adeddd2dd3,10.1002/mrm.26731
solomon2016removingsiliconeartifa,2016,Removing silicone artifacts in diffusion‐weighted breast MRI by means of shift‐resolved spatiotemporally encoding,solomon2016removingsiliconeartifa.jpg,https://www.semanticscholar.org/paper/ef1492c5bd4ee7194ab36efae39d5e5a2b54cc1b,10.1002/mrm.25757
solomon2015overcominglimitationsi,2015,Overcoming limitations in diffusion‐weighted MRI of breast by spatio‐temporal encoding,solomon2015overcominglimitationsi.jpg,https://www.semanticscholar.org/paper/bacb39c977effa16c03f11471ac0438119573e1b,10.1002/mrm.25344
leftin2015ultrafastinvivodiffus,2015,Ultrafast in vivo diffusion imaging of stroke at 21.1 T by spatiotemporal encoding,leftin2015ultrafastinvivodiffus.jpg,https://www.semanticscholar.org/paper/7454fe2cd377b0b1e0f2696abfdf12c2a81bd649,10.1002/mrm.25271
ciobanu2015fmricontrastathighan,2015,fMRI contrast at high and ultrahigh magnetic fields: Insight from complementary methods,ciobanu2015fmricontrastathighan.jpg,https://www.semanticscholar.org/paper/c6f6445c9a45bf29aa22f9121b5518cda0bdc6bb,10.1016/j.neuroimage.2015.03.018
solomon2014majormouseplacentalco,2014,"Major mouse placental compartments revealed by diffusion-weighted MRI, contrast-enhanced MRI, and fluorescence imaging",solomon2014majormouseplacentalco.jpg,https://www.semanticscholar.org/paper/cae2cc5b74c5ec1471bc77994787fe78ee638bac,10.1073/pnas.1401695111
seginer2014referencelessreconstruc,2014,Referenceless reconstruction of spatiotemporally encoded imaging data: Principles and applications to real‐time MRI,seginer2014referencelessreconstruc.jpg,https://www.semanticscholar.org/paper/32ed2ed2ccc435e9ca27c4b0ee36c0e74980d8c2,10.1002/mrm.25084
solomon2013diffusionweightedmrib,2013,Diffusion weighted MRI by spatiotemporal encoding: analytical description and in vivo validations.,solomon2013diffusionweightedmrib.jpg,https://www.semanticscholar.org/paper/1a4fa8857a6dbb9bd1378141c9326daf5d385950,10.1016/j.jmr.2013.02.014
solomon2013comparisonbetweensingl,2013,Comparison between Single-Shot Diffusion Weighted Methodologies at 3 and 7 Tesla on Brain Volunteers,solomon2013comparisonbetweensingl.jpg,https://www.semanticscholar.org/paper/a4f48e6c43fc696e6b44e85783e1cecb0e5004e5,
solomon20134409spatiotemporalenco,2013,4409 Spatiotemporal Encoding Diffusion Weighted Imaging of the Breast : Comparison with SE-EPI-based methodology,solomon20134409spatiotemporalenco.jpg,https://www.semanticscholar.org/paper/45a41ca10a27b2a1bd8f506850e693dd4626284b,
solomon20134288robustdiffusionwe,2013,4288 Robust Diffusion-Weighted Single-Shot MRI Can Resolve Major Mice Placental Compartments,solomon20134288robustdiffusionwe.jpg,https://www.semanticscholar.org/paper/a8c5004c7c7a1e5a2ad4166caad1abd92962a65f,
solomon2012spatiotemporalencoded,2012,SPatio-temporal ENcoded Diffusion-Weighted Breast MRI Studies,solomon2012spatiotemporalencoded.jpg,https://www.semanticscholar.org/paper/348a00f3c9c80003f6dd2d67407a4e80fc239cec,
solomon2012realtimespatiotemporal,2012,Real-time SPatiotemporal ENcoding Imaging of Renal Kinetics in Perfused Mice,solomon2012realtimespatiotemporal.jpg,https://www.semanticscholar.org/paper/9240eba62a91f3cb9d158a3598bf84d04cdb2eb2,
solomon2012diffusionmribasedons,2012,Diffusion MRI Based on SPatio-temporal ENcoding : Analytical Description and Validation,solomon2012diffusionmribasedons.jpg,https://www.semanticscholar.org/paper/e90a9092c499efdb4d00a9e714f9d610a223d202,
beneliezer2012fullyrefocusedmultish,2012,Fully refocused multi-shot spatiotemporally encoded MRI: robust imaging in the presence of metallic implants,beneliezer2012fullyrefocusedmultish.jpg,https://www.semanticscholar.org/paper/5f8795ab41eb53406765fd53f417f31113bd0824,10.1007/s10334-012-0318-7
solomon2011theoriginsoffmricont,2011,The Origins of fMRI Contrast in SPEN Imaging at Ultra High Magnetic Fields,solomon2011theoriginsoffmricont.jpg,https://www.semanticscholar.org/paper/46a23d94ed996fc2d7b44353eb530b492ccc4ea1,
beneliezer2011fullyrefocusedspatiote,2011,Fully-Refocused Spatiotemporally-Encoded MRI : Robust MR Imaging in the presence of metallic implants,beneliezer2011fullyrefocusedspatiote.jpg,https://www.semanticscholar.org/paper/9ed9ba1134cf8b7813bafe004fc0701af040a980,
moshitchmoshkovitz2006invivodirectmolecular,2006,In vivo direct molecular imaging of early tumorigenesis and malignant progression induced by transgenic expression of GFP-Met.,moshitchmoshkovitz2006invivodirectmolecular.jpg,https://www.semanticscholar.org/paper/2620557ed3cca92635b996d64d06e8e081b464a9,10.1593/NEO.05634
